_Kode,_PDF,_Link,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Lokasi,@QR-Images
SG/001/SRY/91/BBY/TM,SG_001_SRY_91_BBY_TM.pdf,https://drive.google.com/file/d/1LeLynbOUUaX58OxeHJOKX9F2OfOowo3C/view?usp=drivesdk,Topeng Kepala Suku IV,1991,Slamet Riyanto,60 x 60 cm,Hardboard cut,E06-2,/QR/QR-Data-TM/SG-001-SRY-91-BBY-TM.png
SG/002/PCY/85/BBY/TM,SG_002_PCY_85_BBY_TM.pdf,https://drive.google.com/file/d/1co_-sBnzIvWmPnSd6C-3rIiQDBNdbPI9/view?usp=drivesdk,Dutaning Nata Sung Binakara,1985,Pracoyo,62 x 52 cm,Woodcut,E13-1,/QR/QR-Data-TM/SG-002-PCY-85-BBY-TM.png
SG/003/NWR/86/BBY/TM,SG_003_NWR_86_BBY_TM.pdf,https://drive.google.com/file/d/1VlaK6Hauwmt3bUOKUv1xHWisHnQkKQjn/view?usp=drivesdk,Pergi Sembahyang,1986,I Ngh Wirakesuma,40 x 30 cm,Hardboard cut,F07-1,/QR/QR-Data-TM/SG-003-NWR-86-BBY-TM.png
SG/004/TIS/87/BBY/TM,SG_004_TIS_87_BBY_TM.pdf,https://drive.google.com/file/d/1vZtW6nl0NiAtUOYH2oxa_oNk9Ci2NqWB/view?usp=drivesdk,Pesta Pencuri,1987,Tisna Sanjaya,52 x 51 cm,Etsa Drypoint,E14-2,/QR/QR-Data-TM/SG-004-TIS-87-BBY-TM.png
SG/005/PTW/89/BBY/TM,SG_005_PTW_89_BBY_TM.pdf,https://drive.google.com/file/d/1EFjm3U0Ck_dP_fmN26e54KlFP829ieix/view?usp=drivesdk,Garuda Sakti,1989,Putu Winasa,60 x 60 cm,Hardboard cut,E02-2,/QR/QR-Data-TM/SG-005-PTW-89-BBY-TM.png
SG/006/BGW/89/BBY/TM,SG_006_BGW_89_BBY_TM.pdf,https://drive.google.com/file/d/11EJ-ZQVNBy-1V37OfwWd-2bgfvgAspNu/view?usp=drivesdk,Puber,1989,B. Gunawan,60 x 60 cm,Hardboard Cut,E14-2,/QR/QR-Data-TM/SG-006-BGW-89-BBY-TM.png
SG/007/YES/90/BBY/TM,SG_007_YES_90_BBY_TM.pdf,https://drive.google.com/file/d/11OM9QgK5Y84m1fuECWSuzntTzfJoTDTa/view?usp=drivesdk,Bibir Berbunga,1990,Y. Eka Suprihadi,37 x 37 cm,Hardboard,E05-2,/QR/QR-Data-TM/SG-007-YES-90-BBY-TM.png
SG/008/AKA/97/BBY/TM,SG_008_AKA_97_BBY_TM.pdf,https://drive.google.com/file/d/16hCXvkf5zsUPrly8OFJP41sjcx2_WQKW/view?usp=drivesdk,Mad Family,1997,Aris K,D42 cm,Etsa ,E13-1,/QR/QR-Data-TM/SG-008-AKA-97-BBY-TM.png
SG/009/AZN/96/BBY/TM,SG_009_AZN_96_BBY_TM.pdf,https://drive.google.com/file/d/1oWnVtUwO1EoORGTWiZkbOozAUWWEAYVJ/view?usp=drivesdk,Interior,1996,Acep Zamzam Noor,46 x 76 cm,Etsa,E01-2,/QR/QR-Data-TM/SG-009-AZN-96-BBY-TM.png
SG/010/WSW/98/BBY/TM,SG_010_WSW_98_BBY_TM.pdf,https://drive.google.com/file/d/1pZIdVh8C520yWTgsavLZHIwUT6qNZTuN/view?usp=drivesdk,Putus Asa,1998,Wiwik Sri Wulandari,61 x 61 cm,Woodcut diatas Kanvas,E05-1,/QR/QR-Data-TM/SG-010-WSW-98-BBY-TM.png
SG/011/YUA/97/BBY/TM,SG_011_YUA_97_BBY_TM.pdf,https://drive.google.com/file/d/1nSg-ZJpioj0smx1uqDMjC_gs-tCubvT1/view?usp=drivesdk,Merapi Putih,1997,Yulis Armita,40 x 30 cm,Woodcut,E03-2,/QR/QR-Data-TM/SG-011-YUA-97-BBY-TM.png
SG/012/BRS/97/BBY/TM,SG_012_BRS_97_BBY_TM.pdf,https://drive.google.com/file/d/1kWQxvYkukXxhM1TYTBn7-aZEEBQN09xA/view?usp=drivesdk,Thek - Thek,1997,Daru Sukamto,50 x 40 cm,Intaglio,E12-2,/QR/QR-Data-TM/SG-012-BRS-97-BBY-TM.png
SG/013/AHP/95/BBY/TM,SG_013_AHP_95_BBY_TM.pdf,https://drive.google.com/file/d/1RIVh7Lqw60VidrT1-GZIk5ckNpxsA36k/view?usp=drivesdk,Rest in Peace,1995,Agus Heru Prasetyo,50 x 60 cm,Etsa Aquatin,E12-2,/QR/QR-Data-TM/SG-013-AHP-95-BBY-TM.png
SG/014/BKS/98/BBY/TM,SG_014_BKS_98_BBY_TM.pdf,https://drive.google.com/file/d/1p6luM3k2FbDsC8SSVFaHplJK6auwUI1m/view?usp=drivesdk,Menuju Abadi,1998,Bambang Kusdirgonugroho,35 x 30 cm,Comp Print,E02-2,/QR/QR-Data-TM/SG-014-BKS-98-BBY-TM.png
SG/015/AGH/97/BBY/TM,SG_015_AGH_97_BBY_TM.pdf,https://drive.google.com/file/d/1707V3nUE9KQzlrWC_o_0JFgVfEHXVaZE/view?usp=drivesdk,Banteng Beol,1997,Agung Hanafi,70 x 80 cm,Hardboard Cut on paper,E05-2,/QR/QR-Data-TM/SG-015-AGH-97-BBY-TM.png
SG/016/AES/98/BBY/TM,SG_016_AES_98_BBY_TM.pdf,https://drive.google.com/file/d/1tHz5JGEwxX4ir1tI3ElMmY4sTI9ZMRX1/view?usp=drivesdk,Sebuah Kampung di Kota,1998,Arief Eko Saputro,60 x 40 cm,Hardboard Cut,E12-1,/QR/QR-Data-TM/SG-016-AES-98-BBY-TM.png
SG/017/APY/98/BBY/TM,SG_017_APY_98_BBY_TM.pdf,https://drive.google.com/file/d/1QBv0oglNRzNXBjZgUMmeIVAVAon3sAK7/view?usp=drivesdk,Ketegangan di Seputar Kepala,1998,Agus Prasetyo,60 x 40 cm,Relief Print,E09-1,/QR/QR-Data-TM/SG-017-APY-98-BBY-TM.png
SG/018/DDI/98/BBY/TM,SG_018_DDI_98_BBY_TM.pdf,https://drive.google.com/file/d/1kdnjGNhPdEM0Eg2Nct1l-rvZOlbLsVX2/view?usp=drivesdk,Ha...Ha...Ha...,1998,Dadang Imawan,35 x 35 cm,Hardboard Cut,E04-2,/QR/QR-Data-TM/SG-018-DDI-98-BBY-TM.png
SG/019/HFR/98/BBY/TM,SG_019_HFR_98_BBY_TM.pdf,https://drive.google.com/file/d/1-mQfg4HeuQDSU-bf9JG16rXofnreGnKi/view?usp=drivesdk,Menari,1998,Henry Firmanto,40 x 30 cm,Relief Print,E02-1,/QR/QR-Data-TM/SG-019-HFR-98-BBY-TM.png
SG/020/WDJ/98/BBY/TM,SG_020_WDJ_98_BBY_TM.pdf,https://drive.google.com/file/d/1cIjmVXKPmKrXezoO8e0h-w1TlFFBAKrm/view?usp=drivesdk,O..OH,1998,Wahyu Dwi J,30 x 40 cm,Intaglio + Relief Print,E04-1,/QR/QR-Data-TM/SG-020-WDJ-98-BBY-TM.png
SG/021/TLS/98/BBY/TM,SG_021_TLS_98_BBY_TM.pdf,https://drive.google.com/file/d/1AT0Da2au5nKOLb5WdBmhsUd4_00YraV6/view?usp=drivesdk,Naik Tiger,1998,Tulus,25 x 40 cm,Hardboard cut,E14-1,/QR/QR-Data-TM/SG-021-TLS-98-BBY-TM.png
SG/022/MAY/99/BBY/TM,SG_022_MAY_99_BBY_TM.pdf,https://drive.google.com/file/d/1SEUwQVDsjtSTz4-BqfuxN2oYFOS1-rZw/view?usp=drivesdk,Isyarat Cinta 1,1999,I Made Aryadwita (Dedok),40 x 40 cm,Tinta cetak pada kertas,F07-1,/QR/QR-Data-TM/SG-022-MAY-99-BBY-TM.png
SG/023/ZAD/00/BBY/TM,SG_023_ZAD_00_BBY_TM.pdf,https://drive.google.com/file/d/1gciWv6zzv6gvqLGqVXV05J2jBzbYy_ir/view?usp=drivesdk,Dalam Kedamaian Puji Syukur,2000,Zamrud SN,24 x 37 cm,,E04-1,/QR/QR-Data-TM/SG-023-ZAD-00-BBY-TM.png
SG/024/ATC/01/BBY/TM,SG_024_ATC_01_BBY_TM.pdf,https://drive.google.com/file/d/16Q_s9f-hjBbcUlBDb_0qsrbmm6IxY7-T/view?usp=drivesdk,Untitled,2001,Ay Tjoe Christin,39.5 x 33 cm,Drypoint & Etsa,E07-1,/QR/QR-Data-TM/SG-024-ATC-01-BBY-TM.png
SG/025/DRY/99/BBY/TM,SG_025_DRY_99_BBY_TM.pdf,https://drive.google.com/file/d/1LAsAG1PeBKkkjS16klJI2cfLWGYOCEO7/view?usp=drivesdk,Pada Suatu Almi,1999,Dina Riyanti,39 x 29.5 cm,Etsa Warna,E05-2,/QR/QR-Data-TM/SG-025-DRY-99-BBY-TM.png
SG/026/KUR/01/BBY/TM,SG_026_KUR_01_BBY_TM.pdf,https://drive.google.com/file/d/1F70Hcg9TGNy4-QonLIqdAy6zTrLmyJ3y/view?usp=drivesdk,Arogansi,2001,Kurniasari,29.5 x 24.5 cm,Etsa on paper,E11-2,/QR/QR-Data-TM/SG-026-KUR-01-BBY-TM.png
SG/027/AGY/01/BBY/TM,SG_027_AGY_01_BBY_TM.pdf,https://drive.google.com/file/d/1cM5oO61jR6V7qaodOY8N59ap6tgbkP6C/view?usp=drivesdk,Kembali ke Hati,2001,Agus Yulianto,240 x 120 cm,Harboard Cut on camvas,G 07,/QR/QR-Data-TM/SG-027-AGY-01-BBY-TM.png
SG/028/ECY/01/BBY/TM,SG_028_ECY_01_BBY_TM.pdf,https://drive.google.com/file/d/1zH33O7WCevcpuHOAjv2jRNFUyEdwsbj8/view?usp=drivesdk,Terkontaminasi,2001,Eko Cahyono,30 x 21 cm,Intaglio,E03-2,/QR/QR-Data-TM/SG-028-ECY-01-BBY-TM.png
SG/029/AJW/02/BBY/TM,SG_029_AJW_02_BBY_TM.pdf,https://drive.google.com/file/d/1sM3Tp4Qc7j51ZACAF1xSA2f--0PBviOn/view?usp=drivesdk,Smarthing,2002,Aji Windu,21 x 17 cm,Print Grafis,E14-2,/QR/QR-Data-TM/SG-029-AJW-02-BBY-TM.png
SG/030/SBG/83/BBY/TM,SG_030_SBG_83_BBY_TM.pdf,https://drive.google.com/file/d/17R0Qm7FGDxfkYDFSETFNo3zaXXtTqLGl/view?usp=drivesdk,Laut dan Matahari,1983,Sartono Basgodo,54 x 66 cm,Wood cut,E06-1,/QR/QR-Data-TM/SG-030-SBG-83-BBY-TM.png
SG/031/MMS/01/BBY/TM,SG_031_MMS_01_BBY_TM.pdf,https://drive.google.com/file/d/1b4j2yDfZknDuieWCRrfnr91zp5DbjF3e/view?usp=drivesdk,Terbatas oleh Waktu,2001,Meilina Mira Sari,43 x 64 cm,Silk Screen,E03-1,/QR/QR-Data-TM/SG-031-MMS-01-BBY-TM.png
SG/032/ARH/03/BBY/TM,SG_032_ARH_03_BBY_TM.pdf,https://drive.google.com/file/d/1sDzRWLpQC8ZV5HFOYHnN7OTvueuYtp6u/view?usp=drivesdk,Bajingan & Doa,2003,Arief Hidayatullah,21 x 16 cm,Intaglio,E07-2,/QR/QR-Data-TM/SG-032-ARH-03-BBY-TM.png
SG/033/AES/03/BBY/TM,SG_033_AES_03_BBY_TM.pdf,https://drive.google.com/file/d/1OFVoHqFkp9JADw-_0_wtOkyhcoN3EADL/view?usp=drivesdk,Panasnya Merah,2003,Arief Eko Saputro,40 x 60 cm,Hardboard Cut,E03-1,/QR/QR-Data-TM/SG-033-AES-03-BBY-TM.png
SG/034/YHM/03/BBY/TM,SG_034_YHM_03_BBY_TM.pdf,https://drive.google.com/file/d/1hpn-H37Nt8ZZ-Gy4FoQvT-PBaHS887uA/view?usp=drivesdk,Who...?,2003,Yohanes Martedi,15 x 74 cm,Etsa-Tinta cetak & Spray paint diatas kertas,E06-1,/QR/QR-Data-TM/SG-034-YHM-03-BBY-TM.png
SG/035/ANI/04/BBY/TM,SG_035_ANI_04_BBY_TM.pdf,https://drive.google.com/file/d/1DAYG4uMXhHYk7BYIDqgiMma38WgagUll/view?usp=drivesdk,Menanti,2004,Sri Wahyuni,16 x 34 cm,Etsa di atas kertas,E10-1,/QR/QR-Data-TM/SG-035-ANI-04-BBY-TM.png
SG/036/DAA/02/BBY/TM,SG_036_DAA_02_BBY_TM.pdf,https://drive.google.com/file/d/1FIOTqPd3BIqU4Rm9svy2k2WqMM6LoGy0/view?usp=drivesdk,Jalan Dari-Nya,2002,Dadlan Afrelno,52 x 90 cm,Hardboard Cut on Paper,E07-1,/QR/QR-Data-TM/SG-036-DAA-02-BBY-TM.png
SG/037/SPL/05/BBY/TM,SG_037_SPL_05_BBY_TM.pdf,https://drive.google.com/file/d/15H09gpEJGnJtbBzvKCbWSfHW0V26c6Rc/view?usp=drivesdk,Rines (Istri Hermanto) dan Anaknya,2005,Syahrizal Pahlevi,50 x 45 cm,Wood cut,E12-1,/QR/QR-Data-TM/SG-037-SPL-05-BBY-TM.png
SG/038/MMS/05/BBY/TM,SG_038_MMS_05_BBY_TM.pdf,https://drive.google.com/file/d/1RfOm6GzPR2uAdH-chs9GdMMZK0CtMCoq/view?usp=drivesdk,Pijitan Sayang,2005,Meilina Mira Sari,40 x 60 cm,Hardboard cut,E03-1,/QR/QR-Data-TM/SG-038-MMS-05-BBY-TM.png
SG/039/HYO/05/BBY/TM,SG_039_HYO_05_BBY_TM.pdf,https://drive.google.com/file/d/1gspWAl03kuQMrUmnGwWqYeRv0nNuEqX5/view?usp=drivesdk,Oh My Love,2005,Hasan Yuwomo,82 x 65 cm,Mix media di atas karton,E02-1,/QR/QR-Data-TM/SG-039-HYO-05-BBY-TM.png
SG/040/IRL/06/BBY/TM,SG_040_IRL_06_BBY_TM.pdf,https://drive.google.com/file/d/1-NO7iARvVnUP2pzDjz26HhW7v9EuQqSZ/view?usp=drivesdk,Matinya Ibu Penggembala Domba,2006,Irwanto Lentho,40 cx 100 cm,Hardboard Cut pada kertas,E14-2,/QR/QR-Data-TM/SG-040-IRL-06-BBY-TM.png
SG/041/CAT/07/BBY/TM,SG_041_CAT_07_BBY_TM.pdf,https://drive.google.com/file/d/1xDMbNzFv0c9MUD4bEuOs57Jo6vJF5Tqp/view?usp=drivesdk,25 Tahun Bentara Budaya Yogyakarta,2007,AC Andre Tanama,30 x 40 cm,Hardboard cut on canvas,E05-2,/QR/QR-Data-TM/SG-041-CAT-07-BBY-TM.png
